,Actual,Predicted,,,,,,,,,,,,,,,,
9438,99,83.478386,,,,18226,2012,1,30,9,99,-12,-7,1034,cv,2.24,5,0
9439,112,101.78623,,,,18227,2012,1,30,10,112,-11,-7,1033,SE,1.79,6,0
9440,127,114.81536,,,,18228,2012,1,30,11,127,-11,-6,1032,SE,3.58,7,0
9441,133,129.10754,,,,18229,2012,1,30,12,133,-9,-6,1031,SE,5.37,8,0
9442,133,134.88956,,,,18230,2012,1,30,13,133,-8,-5,1029,SE,7.16,9,0
9443,129,133.87025,,,,18231,2012,1,30,14,129,-7,-5,1028,cv,0.89,10,0
9444,134,130.88348,,,,18232,2012,1,30,15,134,-8,-4,1028,cv,1.78,0,0
9445,135,133.0532,,,,18233,2012,1,30,16,135,-8,-4,1027,cv,2.67,0,0
9446,138,136.3316,,,,18234,2012,1,30,17,138,-9,-5,1027,cv,3.56,0,0
9447,155,139.49129,,,,18235,2012,1,30,18,155,-10,-7,1027,NE,0.89,0,0
9448,157,155.48,,,,18236,2012,1,30,19,157,-9,-7,1027,NE,1.78,0,0
9449,147,153.73792,,,,18237,2012,1,30,20,147,-9,-7,1027,NE,2.67,0,0
9450,151,139.69203,,,,18238,2012,1,30,21,151,-8,-5,1026,NE,3.56,0,0
9451,152,143.5108,,,,18239,2012,1,30,22,152,-8,-5,1026,NE,5.35,0,0
9452,142,144.73477,,,,18240,2012,1,30,23,142,-8,-5,1025,NE,7.14,0,0
9453,132,134.86247,,,,18241,2012,1,31,0,132,-8,-5,1024,cv,0.45,0,0
9454,139,132.8064,,,,18242,2012,1,31,1,139,-8,-5,1024,NW,1.79,0,0
9455,150,135.61694,,,,18243,2012,1,31,2,150,-8,-5,1024,NW,4.92,0,0
9456,150,148.10786,,,,18244,2012,1,31,3,150,-8,-5,1023,NW,8.05,0,0
9457,143,145.86887,,,,18245,2012,1,31,4,143,-9,-7,1022,NW,9.84,0,0
9458,144,139.00308,,,,18246,2012,1,31,5,144,-10,-8,1021,NW,11.63,0,0
9459,154,140.07185,,,,18247,2012,1,31,6,154,-10,-8,1021,NW,14.76,0,0
9460,152,149.95747,,,,18248,2012,1,31,7,152,-10,-7,1022,NW,18.78,0,0
9461,147,146.22981,,,,18249,2012,1,31,8,147,-10,-5,1023,NE,4.02,0,0
9462,141,138.91664,,,,18250,2012,1,31,9,141,-12,-4,1024,NE,8.94,0,0
9463,135,131.56993,,,,18251,2012,1,31,10,135,-17,-3,1024,NE,14.75,0,0
9464,58,123.46782,,,,18252,2012,1,31,11,58,-19,-3,1024,NE,21.9,0,0
9465,14,49.39346,,,,18253,2012,1,31,12,14,-21,-2,1024,NE,27.71,0,0
9466,19,10.030572,,,,18254,2012,1,31,13,19,-23,-1,1023,NE,32.63,0,0
9467,22,18.20021,,,,18255,2012,1,31,14,22,-23,-1,1023,NE,37.55,0,0
9468,23,23.278784,,,,18256,2012,1,31,15,23,-25,-2,1024,NE,43.36,0,0
9469,18,23.721256,,,,18257,2012,1,31,16,18,-27,-2,1025,NE,47.38,0,0
9470,17,18.062971,,,,18258,2012,1,31,17,17,-26,-3,1026,NE,52.3,0,0
9471,14,18.985155,,,,18259,2012,1,31,18,14,-27,-5,1027,NE,56.32,0,0
9472,13,16.818779,,,,18260,2012,1,31,19,13,-27,-5,1028,NE,61.24,0,0
9473,13,15.220176,,,,18261,2012,1,31,20,13,-28,-7,1029,NE,65.26,0,0
9474,18,15.739144,,,,18262,2012,1,31,21,18,-28,-7,1030,NE,70.18,0,0
9475,8,20.323458,,,,18263,2012,1,31,22,8,-28,-8,1031,NE,74.2,0,0
9476,9,10.987543,,,,18264,2012,1,31,23,9,-28,-8,1032,NE,80.01,0,0
9477,15,11.692385,,,,18265,2012,2,1,0,15,-27,-10,1033,NE,85.82,0,0
9478,14,18.931393,,,,18266,2012,2,1,1,14,-28,-10,1034,NW,5.81,0,0
9479,13,17.709131,,,,18267,2012,2,1,2,13,-27,-11,1034,NE,4.92,0,0
9480,9,16.591616,,,,18268,2012,2,1,3,9,-27,-11,1034,NE,9.84,0,0
9481,11,13.418683,,,,18269,2012,2,1,4,11,-27,-11,1034,NE,14.76,0,0
9482,12,14.846222,,,,18270,2012,2,1,5,12,-27,-13,1034,NE,18.78,0,0
9483,11,16.89545,,,,18271,2012,2,1,6,11,-27,-13,1034,NE,20.57,0,0
9484,13,15.329686,,,,18272,2012,2,1,7,13,-28,-12,1036,NE,23.7,0,0
9485,13,14.985921,,,,18273,2012,2,1,8,13,-27,-11,1036,NW,4.02,0,0
9486,13,16.41989,,,,18274,2012,2,1,9,13,-27,-8,1037,NW,12.07,0,0
9487,14,13.7511835,,,,18275,2012,2,1,10,14,-27,-7,1037,NW,20.12,0,0
9488,14,15.187198,,,,18276,2012,2,1,11,14,-26,-6,1037,NW,23.25,0,0
9489,14,16.149303,,,,18277,2012,2,1,12,14,-26,-6,1036,NE,4.02,0,0
9490,12,17.211746,,,,18278,2012,2,1,13,12,-25,-6,1035,NE,8.04,0,0
9491,13,16.52365,,,,18279,2012,2,1,14,13,-24,-5,1035,NE,11.17,0,0
9492,16,16.450863,,,,18280,2012,2,1,15,16,-25,-5,1035,NE,14.3,0,0
9493,16,18.437143,,,,18281,2012,2,1,16,16,-24,-5,1035,NE,16.09,0,0
9494,17,18.995953,,,,18282,2012,2,1,17,17,-24,-6,1035,NE,17.88,0,0
9495,23,20.394926,,,,18283,2012,2,1,18,23,-24,-8,1036,SE,0.89,0,0
9496,25,28.8553,,,,18284,2012,2,1,19,25,-23,-9,1037,NE,0.89,0,0
9497,39,27.20054,,,,18285,2012,2,1,20,39,-24,-8,1038,NE,2.68,0,0
9498,52,40.550045,,,,18286,2012,2,1,21,52,-23,-8,1038,NE,6.7,0,0
9499,42,53.269894,,,,18287,2012,2,1,22,42,-24,-9,1039,NE,10.72,0,0
9500,24,42.59066,,,,18288,2012,2,1,23,24,-24,-9,1040,NE,15.64,0,0
9501,24,24.268492,,,,18289,2012,2,2,0,24,-25,-11,1041,NW,4.02,0,0
9502,30,26.601486,,,,18290,2012,2,2,1,30,-24,-9,1041,NW,11.17,0,0
9503,13,31.226812,,,,18291,2012,2,2,2,13,-24,-9,1041,NW,16.09,0,0
9504,10,13.5024605,,,,18292,2012,2,2,3,10,-24,-10,1041,NW,21.01,0,0
9505,8,12.117445,,,,18293,2012,2,2,4,8,-24,-10,1041,NW,26.82,0,0
9506,7,10.213529,,,,18294,2012,2,2,5,7,-25,-10,1041,NW,30.84,0,0
9507,6,8.66446,,,,18295,2012,2,2,6,6,-25,-10,1041,NW,37.99,0,0
9508,9,7.990052,,,,18296,2012,2,2,7,9,-25,-11,1041,NW,43.8,0,0
9509,11,11.936005,,,,18297,2012,2,2,8,11,-25,-10,1041,NW,47.82,0,0
9510,16,12.830059,,,,18298,2012,2,2,9,16,-25,-8,1041,NW,52.74,0,0
9511,13,16.64971,,,,18299,2012,2,2,10,13,-25,-7,1040,NW,57.66,0,0
9512,16,13.971138,,,,18300,2012,2,2,11,16,-26,-4,1039,NW,62.58,0,0
9513,14,15.880464,,,,18301,2012,2,2,12,14,-26,-4,1037,NW,69.73,0,0
9514,17,15.769504,,,,18302,2012,2,2,13,17,-25,-4,1036,NW,75.54,0,0
9515,14,19.976997,,,,18303,2012,2,2,14,14,-24,-2,1034,NE,3.13,0,0
9516,13,17.005806,,,,18304,2012,2,2,15,13,-24,-2,1033,NW,3.13,0,0
9517,18,16.757332,,,,18305,2012,2,2,16,18,-25,-3,1033,NE,1.79,0,0
9518,24,20.508085,,,,18306,2012,2,2,17,24,-24,-5,1032,cv,0.89,0,0
9519,39,33.344143,,,,18307,2012,2,2,18,39,-24,-5,1032,cv,1.78,0,0
9520,57,44.593063,,,,18308,2012,2,2,19,57,-24,-5,1032,cv,2.67,0,0
9521,69,61.916134,,,,18309,2012,2,2,20,69,-23,-5,1031,cv,3.56,0,0
9522,75,73.81579,,,,18310,2012,2,2,21,75,-23,-10,1031,cv,4.45,0,0
9523,82,81.49266,,,,18311,2012,2,2,22,82,-23,-11,1031,cv,5.34,0,0
9524,92,86.02081,,,,18312,2012,2,2,23,92,-23,-12,1031,cv,6.23,0,0
9525,64,94.882744,,,,18313,2012,2,3,0,64,-23,-12,1030,NW,0.89,0,0
9526,61,61.76025,,,,18314,2012,2,3,1,61,-24,-14,1030,NW,4.02,0,0
9527,40,61.150677,,,,18315,2012,2,3,2,40,-24,-15,1029,NW,7.15,0,0
9528,60,40.657246,,,,18316,2012,2,3,3,60,-23,-14,1029,NW,8.94,0,0
9529,68,60.841427,,,,18317,2012,2,3,4,68,-23,-14,1028,NW,12.07,0,0
9530,68,68.83974,,,,18318,2012,2,3,5,68,-24,-13,1027,NW,13.86,0,0
9531,63,67.07004,,,,18319,2012,2,3,6,63,-24,-14,1026,NW,16.99,0,0
9532,63,62.93767,,,,18320,2012,2,3,7,63,-24,-16,1026,NW,20.12,0,0
9533,60,63.968925,,,,18321,2012,2,3,8,60,-23,-12,1026,NW,24.14,0,0
9534,52,58.280678,,,,18322,2012,2,3,9,52,-23,-8,1026,NW,27.27,0,0
9535,49,48.52941,,,,18323,2012,2,3,10,49,-22,-5,1025,NW,30.4,0,0
9536,59,47.087837,,,,18324,2012,2,3,11,59,-22,-3,1024,NW,32.19,0,0
9537,60,58.20667,,,,18325,2012,2,3,12,60,-24,1,1023,cv,1.79,0,0
9538,52,60.64053,,,,18326,2012,2,3,13,52,-23,3,1022,NW,4.02,0,0
9539,50,50.68131,,,,18327,2012,2,3,14,50,-23,4,1021,NW,13.85,0,0
9540,76,50.98064,,,,18328,2012,2,3,15,76,-25,4,1021,NW,25.03,0,0
9541,66,75.03044,,,,18329,2012,2,3,16,66,-26,4,1021,NW,33.97,0,0
9542,72,63.946095,,,,18330,2012,2,3,17,72,-25,3,1021,NW,39.78,0,0
9543,82,71.55599,,,,18331,2012,2,3,18,82,-22,-1,1022,NE,1.79,0,0
9544,100,84.45285,,,,18332,2012,2,3,19,100,-21,-3,1023,SE,0.89,0,0
9545,129,103.83653,,,,18333,2012,2,3,20,129,-21,-6,1024,cv,0.89,0,0
9546,147,134.67842,,,,18334,2012,2,3,21,147,-21,-6,1025,cv,1.78,0,0
9547,114,150.03947,,,,18335,2012,2,3,22,114,-22,-4,1026,NW,1.79,0,0
9548,50,106.97051,,,,18336,2012,2,3,23,50,-24,-4,1026,NW,4.92,0,0
9549,14,42.490765,,,,18337,2012,2,4,0,14,-25,-4,1027,NW,10.73,0,0
9550,16,11.122617,,,,18338,2012,2,4,1,16,-24,-5,1027,NW,15.65,0,0
9551,9,18.447859,,,,18339,2012,2,4,2,9,-25,-6,1027,NW,21.46,0,0
9552,9,12.072746,,,,18340,2012,2,4,3,9,-25,-7,1028,NE,3.13,0,0
9553,8,12.246947,,,,18341,2012,2,4,4,8,-23,-8,1028,NE,6.26,0,0
9554,9,13.195022,,,,18342,2012,2,4,5,9,-23,-10,1028,NW,3.13,0,0
9555,9,14.451905,,,,18343,2012,2,4,6,9,-23,-8,1028,NE,5.81,0,0
9556,9,11.243335,,,,18344,2012,2,4,7,9,-23,-7,1028,NE,11.62,0,0
9557,17,11.4767885,,,,18345,2012,2,4,8,17,-23,-7,1029,NE,16.54,0,0
9558,21,19.172354,,,,18346,2012,2,4,9,21,-22,-5,1029,NE,20.56,0,0
9559,19,22.724506,,,,18347,2012,2,4,10,19,-22,-4,1029,NE,24.58,0,0
9560,19,20.362537,,,,18348,2012,2,4,11,19,-22,0,1028,NE,26.37,0,0
9561,20,19.014252,,,,18349,2012,2,4,12,20,-24,1,1027,cv,1.79,0,0
9562,22,25.002117,,,,18350,2012,2,4,13,22,-25,1,1026,cv,2.68,0,0
9563,29,26.160358,,,,18351,2012,2,4,14,29,-24,1,1025,cv,4.47,0,0
9564,40,35.34879,,,,18352,2012,2,4,15,40,-24,2,1024,SE,1.79,0,0
9565,69,44.601597,,,,18353,2012,2,4,16,69,-24,1,1024,SE,6.71,0,0
9566,70,74.19974,,,,18354,2012,2,4,17,70,-21,0,1023,SE,10.73,0,0
9567,62,74.513374,,,,18355,2012,2,4,18,62,-21,-1,1023,SE,13.86,0,0
9568,60,64.1541,,,,18356,2012,2,4,19,60,-21,-2,1024,SE,15.65,0,0
9569,61,61.222836,,,,18357,2012,2,4,20,61,-20,-3,1023,cv,0.89,0,0
9570,72,65.82731,,,,18358,2012,2,4,21,72,-19,-5,1023,cv,1.78,0,0
9571,82,78.21443,,,,18359,2012,2,4,22,82,-19,-5,1023,SE,0.89,0,0
9572,100,85.069695,,,,18360,2012,2,4,23,100,-19,-5,1023,SE,2.68,0,0
9573,118,102.08586,,,,18361,2012,2,5,0,118,-19,-5,1023,SE,4.47,0,0
9574,126,118.97102,,,,18362,2012,2,5,1,126,-14,-5,1022,cv,0.89,0,0
9575,140,131.31593,,,,18363,2012,2,5,2,140,-15,-5,1022,SE,1.79,0,0
9576,132,141.01071,,,,18364,2012,2,5,3,132,-14,-5,1021,SE,2.68,0,0
9577,119,131.22581,,,,18365,2012,2,5,4,119,-13,-4,1020,cv,0.45,0,0
9578,100,119.06297,,,,18366,2012,2,5,5,100,-14,-4,1019,SE,0.89,0,0
9579,92,97.63015,,,,18367,2012,2,5,6,92,-14,-5,1019,cv,0.89,0,0
9580,90,93.55326,,,,18368,2012,2,5,7,90,-14,-5,1019,NW,1.79,0,0
9581,109,89.82785,,,,18369,2012,2,5,8,109,-15,-4,1020,NE,1.79,0,0
9582,103,107.18775,,,,18370,2012,2,5,9,103,-15,-4,1020,NW,1.79,0,0
9583,81,99.76645,,,,18371,2012,2,5,10,81,-13,0,1020,NW,3.58,0,0
9584,82,76.18754,,,,18372,2012,2,5,11,82,-12,1,1020,cv,0.89,0,0
9585,100,83.60894,,,,18373,2012,2,5,12,100,-12,1,1019,cv,1.78,0,0
9586,103,104.69035,,,,18374,2012,2,5,13,103,-14,2,1018,NW,1.79,0,0
9587,116,103.567085,,,,18375,2012,2,5,14,116,-14,3,1017,cv,1.79,0,0
9588,108,118.80492,,,,18376,2012,2,5,15,108,-14,4,1016,SE,1.79,0,0
9589,113,107.12777,,,,18377,2012,2,5,16,113,-14,4,1016,SE,4.92,0,0
9590,127,113.85052,,,,18378,2012,2,5,17,127,-14,3,1017,SE,8.94,0,0
9591,132,127.95277,,,,18379,2012,2,5,18,132,-14,1,1017,SE,12.96,0,0
9592,128,133.11961,,,,18380,2012,2,5,19,128,-12,-2,1018,SE,13.85,0,0
9593,132,129.9061,,,,18381,2012,2,5,20,132,-12,-4,1018,SE,14.74,0,0
9594,201,133.4168,,,,18382,2012,2,5,21,201,-11,-3,1018,cv,0.45,0,0
9595,265,208.54724,,,,18383,2012,2,5,22,265,-12,-5,1018,NE,0.89,0,0
9596,252,266.79214,,,,18384,2012,2,5,23,252,-11,-4,1019,cv,0.89,0,0
9597,254,251.80185,,,,18385,2012,2,6,0,254,-11,-4,1019,NE,0.89,0,0
9598,262,243.85432,,,,18386,2012,2,6,1,262,-10,-4,1019,NE,2.68,0,0
9599,251,253.36119,,,,18387,2012,2,6,2,251,-12,-6,1020,NW,0.89,0,0
9600,278,239.83054,,,,18388,2012,2,6,3,278,-12,-6,1020,NW,2.68,0,0
9601,263,268.33826,,,,18389,2012,2,6,4,263,-13,-6,1020,NW,5.81,0,0
9602,183,252.5402,,,,18390,2012,2,6,5,183,-17,-2,1021,NW,13.86,0,0
9603,18,162.99019,,,,18391,2012,2,6,6,18,-20,-3,1023,NW,23.69,0,0
9604,20,-0.8869265,,,,18392,2012,2,6,7,20,-20,-3,1024,NW,32.63,0,0
9605,19,16.916676,,,,18393,2012,2,6,8,19,-20,-4,1026,NW,43.81,0,0
9606,12,20.266953,,,,18394,2012,2,6,9,12,-21,-3,1027,NW,59.01,0,0
9607,11,11.87139,,,,18395,2012,2,6,10,11,-21,-2,1027,NW,71.97,0,0
9608,10,11.518926,,,,18396,2012,2,6,11,10,-22,-2,1027,NW,87.17,0,0
9609,12,11.097378,,,,18397,2012,2,6,12,12,-23,-1,1027,NW,99.24,0,0
9610,19,12.534281,,,,18398,2012,2,6,13,19,-25,-1,1027,NW,111.31,0,0
9611,22,19.284382,,,,18399,2012,2,6,14,22,-25,-2,1027,NW,124.27,0,0
9612,23,23.399544,,,,18400,2012,2,6,15,23,-26,-2,1028,NW,137.23,0,0
9613,13,23.17153,,,,18401,2012,2,6,16,13,-28,-4,1029,NW,153.32,0,0
9614,12,12.890276,,,,18402,2012,2,6,17,12,-28,-6,1030,NW,165.39,0,0
9615,10,13.493813,,,,18403,2012,2,6,18,10,-28,-7,1031,NW,174.33,0,0
9616,27,11.583982,,,,18404,2012,2,6,19,27,-27,-7,1032,NW,188.19,0,0
9617,32,28.34592,,,,18405,2012,2,6,20,32,-27,-8,1033,NW,200.26,0,0
9618,42,32.556194,,,,18406,2012,2,6,21,42,-26,-8,1033,NW,213.22,0,0
9619,66,42.26304,,,,18407,2012,2,6,22,66,-26,-9,1033,NW,224.4,0,0
9620,56,66.23769,,,,18408,2012,2,6,23,56,-25,-9,1033,NW,233.34,0,0
9621,163,54.327244,,,,18409,2012,2,7,0,163,-26,-10,1033,NW,239.15,0,0
9622,17,163.25616,,,,18410,2012,2,7,1,17,-27,-9,1034,NW,252.11,0,0
9623,7,4.7518454,,,,18411,2012,2,7,2,7,-28,-10,1034,NW,265.97,0,0
9624,7,2.672938,,,,18412,2012,2,7,3,7,-28,-10,1034,NW,278.04,0,0
9625,7,7.241453,,,,18413,2012,2,7,4,7,-28,-12,1034,NW,283.85,0,0
9626,9,8.5802,,,,18414,2012,2,7,5,9,-27,-10,1033,NW,293.68,0,0
9627,9,9.699433,,,,18415,2012,2,7,6,9,-27,-11,1034,NW,300.83,0,0
9628,7,9.3069515,,,,18416,2012,2,7,7,7,-27,-13,1034,NW,304.85,0,0
9629,9,8.302323,,,,18417,2012,2,7,8,9,-27,-10,1034,cv,0.89,0,0
9630,13,12.230575,,,,18418,2012,2,7,9,13,-25,-8,1034,NW,7.15,0,0
9631,22,14.207143,,,,18419,2012,2,7,10,22,-25,-7,1033,NW,14.3,0,0
9632,15,25.23681,,,,18420,2012,2,7,11,15,-24,-6,1032,NW,21.45,0,0
9633,13,17.340416,,,,18421,2012,2,7,12,13,-25,-5,1031,NW,30.39,0,0
9634,18,14.64315,,,,18422,2012,2,7,13,18,-24,-3,1030,NW,39.33,0,0
9635,14,19.81076,,,,18423,2012,2,7,14,14,-24,-3,1029,NW,46.48,0,0
9636,12,16.393415,,,,18424,2012,2,7,15,12,-24,-2,1028,NW,54.53,0,0
9637,12,14.061664,,,,18425,2012,2,7,16,12,-24,-1,1028,NW,60.34,0,0
9638,13,13.507661,,,,18426,2012,2,7,17,13,-24,-3,1028,NW,66.15,0,0
9639,12,16.028358,,,,18427,2012,2,7,18,12,-25,-4,1028,NW,71.07,0,0
9640,12,14.599125,,,,18428,2012,2,7,19,12,-25,-6,1029,NW,75.99,0,0
9641,12,14.742869,,,,18429,2012,2,7,20,12,-23,-6,1029,NW,83.14,0,0
9642,12,15.218435,,,,18430,2012,2,7,21,12,-24,-8,1030,NW,88.06,0,0
9643,9,14.493403,,,,18431,2012,2,7,22,9,-24,-8,1030,NW,92.98,0,0
9644,9,10.799644,,,,18432,2012,2,7,23,9,-24,-8,1030,NW,98.79,0,0
9645,11,10.844013,,,,18433,2012,2,8,0,11,-24,-7,1030,NW,105.94,0,0
9646,9,12.296432,,,,18434,2012,2,8,1,9,-24,-7,1030,NW,113.09,0,0
9647,10,10.447063,,,,18435,2012,2,8,2,10,-25,-8,1030,NW,118.9,0,0
9648,10,11.78191,,,,18436,2012,2,8,3,10,-24,-9,1030,NW,124.71,0,0
9649,11,12.722133,,,,18437,2012,2,8,4,11,-25,-9,1029,NW,129.63,0,0
9650,10,13.059096,,,,18438,2012,2,8,5,10,-25,-9,1029,NW,131.42,0,0
9651,8,11.569293,,,,18439,2012,2,8,6,8,-25,-11,1028,NW,134.55,0,0
9652,9,11.209405,,,,18440,2012,2,8,7,9,-25,-11,1028,NW,136.34,0,0
9653,12,11.421829,,,,18441,2012,2,8,8,12,-23,-7,1028,NE,1.79,0,0
9654,16,13.953641,,,,18442,2012,2,8,9,16,-22,-5,1028,NW,3.13,0,0
9655,11,18.41845,,,,18443,2012,2,8,10,11,-22,-3,1027,NW,7.15,0,0
9656,27,12.466706,,,,18444,2012,2,8,11,27,-22,-2,1026,NW,16.09,0,0
9657,21,29.191044,,,,18445,2012,2,8,12,21,-22,0,1025,NW,25.92,0,0
9658,16,22.155298,,,,18446,2012,2,8,13,16,-24,0,1024,NW,35.75,0,0
9659,11,16.968042,,,,18447,2012,2,8,14,11,-23,2,1023,NW,43.8,0,0
9660,11,12.677732,,,,18448,2012,2,8,15,11,-23,2,1023,NW,49.61,0,0
9661,17,13.373754,,,,18449,2012,2,8,16,17,-24,2,1023,NW,56.76,0,0
9662,17,18.928265,,,,18450,2012,2,8,17,17,-23,2,1023,NW,63.91,0,0
9663,12,19.354122,,,,18451,2012,2,8,18,12,-21,-3,1024,NE,1.79,0,0
9664,20,18.196505,,,,18452,2012,2,8,19,20,-21,-3,1025,NW,3.13,0,0
9665,21,23.912773,,,,18453,2012,2,8,20,21,-21,-5,1026,NE,1.79,0,0
9666,26,23.398754,,,,18454,2012,2,8,21,26,-21,-5,1026,NW,3.13,0,0
9667,18,28.783613,,,,18455,2012,2,8,22,18,-20,-6,1026,cv,0.89,0,0
9668,22,24.189856,,,,18456,2012,2,8,23,22,-21,-7,1027,NW,3.13,0,0
9669,18,24.116693,,,,18457,2012,2,9,0,18,-20,-7,1027,NW,4.92,0,0
9670,39,20.960394,,,,18458,2012,2,9,1,39,-19,-8,1027,NE,0.89,0,0
9671,36,42.20448,,,,18459,2012,2,9,2,36,-20,-9,1026,cv,0.45,0,0
9672,28,42.6763,,,,18460,2012,2,9,3,28,-19,-11,1026,cv,0.9,0,0
9673,28,32.204567,,,,18461,2012,2,9,4,28,-21,-13,1026,NW,0.89,0,0
9674,33,30.903305,,,,18462,2012,2,9,5,33,-20,-13,1027,NW,4.02,0,0
9675,33,35.223038,,,,18463,2012,2,9,6,33,-20,-11,1026,NW,5.81,0,0
9676,38,33.61354,,,,18464,2012,2,9,7,38,-20,-11,1027,cv,0.89,0,0
9677,77,41.658672,,,,18465,2012,2,9,8,77,-17,-8,1027,NW,3.13,0,0
9678,84,78.72001,,,,18466,2012,2,9,9,84,-18,-5,1027,NW,6.26,0,0
9679,84,82.67056,,,,18467,2012,2,9,10,84,-17,-3,1028,SE,1.79,0,0
9680,63,81.87732,,,,18468,2012,2,9,11,63,-18,-1,1027,cv,1.79,0,0
9681,52,61.32583,,,,18469,2012,2,9,12,52,-20,1,1026,cv,3.58,0,0
9682,40,50.57925,,,,18470,2012,2,9,13,40,-21,1,1025,cv,5.37,0,0
9683,36,41.388123,,,,18471,2012,2,9,14,36,-21,3,1024,SE,4.02,0,0
9684,37,37.580105,,,,18472,2012,2,9,15,37,-21,2,1024,SE,8.94,0,0
9685,45,40.315807,,,,18473,2012,2,9,16,45,-21,2,1023,SE,14.75,0,0
9686,51,48.535076,,,,18474,2012,2,9,17,51,-21,2,1023,SE,19.67,0,0
9687,55,53.63975,,,,18475,2012,2,9,18,55,-21,1,1024,SE,23.69,0,0
9688,66,57.13417,,,,18476,2012,2,9,19,66,-20,0,1024,SE,28.61,0,0
9689,64,69.173546,,,,18477,2012,2,9,20,64,-18,0,1025,NW,3.13,0,0
9690,56,65.353134,,,,18478,2012,2,9,21,56,-18,-2,1027,NW,6.26,0,0
9691,57,56.141438,,,,18479,2012,2,9,22,57,-19,-5,1027,NW,9.39,0,0
9692,21,57.882282,,,,18480,2012,2,9,23,21,-22,-1,1028,NW,17.44,0,0
9693,6,16.164133,,,,18481,2012,2,10,0,6,-22,-2,1028,NW,28.62,0,0
9694,4,5.547451,,,,18482,2012,2,10,1,4,-22,-3,1029,NW,36.67,0,0
9695,6,6.623532,,,,18483,2012,2,10,2,6,-21,-2,1029,NW,45.61,0,0
9696,8,8.535207,,,,18484,2012,2,10,3,8,-20,-3,1030,NW,52.76,0,0
9697,7,10.959779,,,,18485,2012,2,10,4,7,-21,-4,1030,NW,55.89,0,0
9698,9,9.480845,,,,18486,2012,2,10,5,9,-21,-6,1030,NW,57.68,0,0
9699,11,12.303571,,,,18487,2012,2,10,6,11,-22,-6,1031,NW,59.47,0,0
9700,13,12.614762,,,,18488,2012,2,10,7,13,-20,-9,1031,cv,0.89,0,0
9701,21,20.796616,,,,18489,2012,2,10,8,21,-19,-3,1032,cv,1.78,0,0
9702,29,22.209717,,,,18490,2012,2,10,9,29,-20,-2,1033,SE,1.79,0,0
9703,19,28.961063,,,,18491,2012,2,10,10,19,-21,0,1032,NW,3.13,0,0
9704,36,18.607979,,,,18492,2012,2,10,11,36,-22,2,1032,cv,0.89,0,0
9705,23,39.648216,,,,18493,2012,2,10,12,23,-21,2,1030,cv,2.68,0,0
9706,23,26.24771,,,,18494,2012,2,10,13,23,-22,3,1029,cv,3.57,0,0
9707,18,26.990395,,,,18495,2012,2,10,14,18,-23,3,1028,SE,3.13,0,0
9708,19,20.778292,,,,18496,2012,2,10,15,19,-22,3,1027,SE,8.05,0,0
9709,27,23.549986,,,,18497,2012,2,10,16,27,-22,3,1027,SE,13.86,0,0
9710,36,30.946476,,,,18498,2012,2,10,17,36,-22,2,1027,SE,18.78,0,0
9711,23,39.899754,,,,18499,2012,2,10,18,23,-22,1,1026,SE,23.7,0,0
9712,34,26.01993,,,,18500,2012,2,10,19,34,-21,0,1027,SE,27.72,0,0
9713,46,38.036945,,,,18501,2012,2,10,20,46,-19,0,1027,SE,32.64,0,0
9714,54,50.1618,,,,18502,2012,2,10,21,54,-19,0,1027,SE,37.56,0,0
9715,63,56.4725,,,,18503,2012,2,10,22,63,-19,-1,1027,SE,41.58,0,0
9716,82,65.21728,,,,18504,2012,2,10,23,82,-19,-2,1026,SE,43.37,0,0
9717,74,85.13744,,,,18505,2012,2,11,0,74,-19,-3,1026,SE,45.16,0,0
9718,95,74.583694,,,,18506,2012,2,11,1,95,-19,-4,1026,SE,46.95,0,0
9719,102,96.84191,,,,18507,2012,2,11,2,102,-20,-7,1026,SE,48.74,0,0
9720,114,103.539955,,,,18508,2012,2,11,3,114,-19,-7,1026,SE,50.53,0,0
9721,121,114.55547,,,,18509,2012,2,11,4,121,-19,-10,1026,NE,1.79,0,0
9722,117,120.92561,,,,18510,2012,2,11,5,117,-17,-9,1026,NE,2.68,0,0
9723,112,114.805725,,,,18511,2012,2,11,6,112,-17,-10,1027,cv,0.89,0,0
9724,123,114.45835,,,,18512,2012,2,11,7,123,-17,-11,1027,NW,1.79,0,0
9725,126,120.493095,,,,18513,2012,2,11,8,126,-16,-10,1028,NW,3.58,0,0
9726,129,123.7407,,,,18514,2012,2,11,9,129,-16,-3,1029,NW,6.71,0,0
9727,121,120.48084,,,,18515,2012,2,11,10,121,-17,-1,1029,NW,9.84,0,0
9728,111,112.74922,,,,18516,2012,2,11,11,111,-21,2,1029,NE,4.02,0,0
9729,73,100.97004,,,,18517,2012,2,11,12,73,-22,3,1028,NE,7.15,0,0
9730,49,65.70737,,,,18518,2012,2,11,13,49,-22,6,1027,NW,3.13,0,0
9731,40,45.01441,,,,18519,2012,2,11,14,40,-22,5,1026,NE,4.02,0,0
9732,39,39.27484,,,,18520,2012,2,11,15,39,-23,5,1026,NE,7.15,0,0
9733,40,39.01475,,,,18521,2012,2,11,16,40,-23,5,1026,NE,8.94,0,0
9734,34,39.567844,,,,18522,2012,2,11,17,34,-23,4,1026,NE,10.73,0,0
9735,29,34.566742,,,,18523,2012,2,11,18,29,-23,2,1027,SE,0.89,0,0
